village;slug;code_postal;coordonnees;region;country;year
Frontino;frontino;;43.764642,12.378031;Marche;Italia;
Corinaldo;corinaldo;;43.64982,13.04836;Marche;Italia;
Suvereto;suvereto;;43.07846,10.67935;Toscana;Italia;
Cingoli;cingoli;;43.375927470487,13.203206062317;Marche;Italia;
Sovana;sovana;;42.6577,11.636;Toscana;Italia;
"Scarperia e San Piero borgo di Scarperia";"scarperia e san piero borgo di scarperia";;43.99313,11.35497;Toscana;Italia;
"San Casciano dei Bagni";"san casciano dei bagni";;42.87172,11.87531;Toscana;Italia;
"Porto Ercole";"porto ercole";;42.393380,11.203645;Toscana;Italia;
Poppi;poppi;;43.7326,11.76344;Toscana;Italia;
Pitigliano;pitigliano;;42.63627,11.67445;Toscana;Italia;
"Ortignano Raggiolo";"ortignano raggiolo";;43.681469,11.752556;Toscana;Italia;
Montescudaio;montescudaio;;43.32688,10.62647;Toscana;Italia;
Montemerano;montemerano;;42.588914,11.518190;Toscana;Italia;
"Loro Ciuffenna";"loro ciuffenna";;43.5926435,11.6328913;Toscana;Italia;
"Giglio Castello";"giglio castello";;42.36705,10.9;Toscana;Italia;
"Coreglia Antelminelli";"coreglia antelminelli";;44.06493,10.52668;Toscana;Italia;
Cetona;cetona;;42.96522,11.90045;Toscana;Italia;
"Castiglione di Garfagnana";"castiglione di garfagnana";;44.152128,10.411856;Toscana;Italia;
"Castelfranco Piandiscò borgo di Castelfranco";"castelfranco piandiscò borgo di castelfranco";;43.62121,11.55704;Toscana;Italia;
Buonconvento;buonconvento;;43.13432,11.48473;Toscana;Italia;
Barga;barga;;44.07523,10.48152;Toscana;Italia;
Anghiari;anghiari;;43.54187,12.0605;Toscana;Italia;
Vigoleno;vigoleno;;44.8166,9.90174;"Emilia Romagna";Italia;
"San Leo";"san leo";;43.8964637,12.3432723;"Emilia Romagna";Italia;
"San Giovanni in Marignano";"san giovanni in marignano";;43.939984,12.710056;"Emilia Romagna";Italia;
Montegridolfo;montegridolfo;;43.85752,12.69123;"Emilia Romagna";Italia;
"Montefiore Conca";"montefiore conca";;43.89,12.61215;"Emilia Romagna";Italia;
Gualtieri;gualtieri;;44.902092,10.631404;"Emilia Romagna";Italia;
Fontanellato;fontanellato;;44.881843,10.168723;"Emilia Romagna";Italia;
Fiumalbo;fiumalbo;;44.179988,10.647504;"Emilia Romagna";Italia;
Dozza;dozza;;44.35937,11.62888;"Emilia Romagna";Italia;
Compiano;compiano;;44.49814,9.66343;"Emilia Romagna";Italia;
Castell’Arquato;castell’arquato;;44.85337,9.8707;"Emilia Romagna";Italia;
